RUOLO;NOME;SQUADRA;SLOT;Prezzo consigliato;Prezzo Massimo;Presenze;Goal subiti;Clean Sheet;Badge;Prendi o lascia? 🎲
P;Svilar;Roma;Super top;70;150;38;31;18;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Gollini;Roma;2° portiere;1;;;;;;2° portiere
P;De Marzi ;Roma;3° portiere;1;;;;;;3° portiere
P;Butez;Como;Super top;67;130;38;29;19;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Sanchez Ro.;Como;2° portiere;1;;;;;;2° portiere
P;Vigorito;Como;3° portiere;1;;;;;;3° portiere
P;Maignan;Milan;Top;54;100;37;35;14;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Terracciano;Milan;2° portiere;1;;;;;;2° portiere
P;Torriani;Milan;3° portiere;1;;;;;;3° portiere
P;Meret;Napoli;Top;48;90;11;12;4;;Titolare/Ballottaggio
P;Milinkovic-Savic V.;Napoli;Top;17;21;27;24;11;⚽💪 Cleansheeter;Titolare/Ballottaggio
P;Contini;Napoli;3° portiere;1;;;;;;3° portiere
P;Carnesecchi;Atalanta;Super top;65;130;37;35;13;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Sportiello;Atalanta;2° portiere;1;;;;;;2° portiere
P;Pompei;Atalanta;3° portiere;1;;;;;;3° portiere
P;Martinez Jo.;Inter;Top;64;130;5;4;3;⚽💪 Cleansheeter;Titolare/Ballottaggio
P;Provedel;Inter;Top;12;15;27;27;12;⚽💪 Cleansheeter;Titolare/Ballottaggio
P;Di Gennaro;Inter;3° portiere;1;;;;;;3° portiere
P;Okoye;Udinese;Buon Titolare;37;46;30;32;10;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Mrzoek;Udinese;2° portiere;1;;;;;;Titolare/Ballottaggio
P;Piana;Udinese;3° portiere;1;;;;;;3° portiere
P;Falcone;Lecce;Titolare;30;38;38;50;10;⚽💪 Cleansheeter;PROVA A PRENDERLO
P;Penev;Lecce;2° portiere;1;;;;;;2° portiere
P;Bleve;Lecce;3° portiere;1;;;;;;3° portiere
